대학,학과,전형,질문,답변,원본파일
가천대학교(성남),A.I인문대학,학생부종합(가천바람개비),"답변은 정해진게 아니니, 긴장하지말고 최선을 다해서 답 해주세요. 먼저 학교에 진학하게 괸다면 학업 계획과 졸업 후 계획에 대해 말해주세요.","네, 제가 가천대학교에 입학하게 된다면~ 듣고싶은 교과목, 역량, 대학원 얘기..",18ecadde-_______5.xlsx
가천대학교(성남),A.I인문대학,학생부종합(가천바람개비),"(꼬리질문) 생활기록부에는 선생님이라고 기재 해 두었던데, 선생님이 되고싶은건가요?","아니요, 저는 선생님 뿐만 아니라 다양한 직업으로의 열린 가능성을 두고싶습니다. 저에게 있어서 선생님이란~.",18ecadde-_______5.xlsx
가천대학교(성남),A.I인문대학,학생부종합(가천바람개비),"3학년 동아리에 우리나라의 교육방식과 인프라가 덜 구축되어있다고 제시 하였는데, 그 이유는?","네, 저는 일본에 비해서 우리나라의 해외 교육지원 인프라가 부족하다고 생각합니다. ~~",18ecadde-_______5.xlsx
가천대학교(성남),A.I인문대학,학생부종합(가천바람개비),"(꼬리질문) 세종학당이 잘 구축이 되어있는데, 이것도 인프라가 부족하다고 생각하나요?","세종학당은 전 세계에서 한국어를 교육하고 있지만, ~.",18ecadde-_______5.xlsx
가천대학교(성남),A.I인문대학,학생부종합(가천바람개비),"일본어 교과 시간에, 책을 읽고 내장 맛집 지도를 만들었다고 했는데, 책과 어떤 연관이 있어서 내 장 맛집 지도를 만들었나요?","네, 제가 읽은 책은~.(책 내용) 따라서 여주인공과 남주인공이 함께 취미삼아 내장음식을 먹으러 다녔습니다.",18ecadde-_______5.xlsx
가천대학교(성남),A.I인문대학,학생부종합(가천바람개비),(꼬리질문) 우리나라에서 먹을 수 있는 내장음식에는 무엇이 있을까요?,"네, 제가 알고있는 내장음식은..~.",18ecadde-_______5.xlsx
가천대학교(성남),A.I인문대학,학생부종합(가천바람개비),"2학년 화법과 작문시간에 건의문을 썼는데, 자세히 설명 해 주세요.","네, 저는 언어센터 설립에 대해 건의문을 작성 했습니다.",18ecadde-_______5.xlsx
가천대학교(성남),A.I인문대학,학생부종합(가천바람개비),"1학년 국어시간에, 담당 선생님께 많은 칭찬을 받았다고 적혀있어서 물어보는건데, 양순음화가 무 엇인지 아시나요? (예시를 들어주며, 이것이 양순음화가 맞나요?)",긴장 한 탓인지 기억이 잘 안납니다..,18ecadde-_______5.xlsx
가천대학교(성남),A.I인문대학,학생부종합(가천바람개비),마지막으로 하고싶은 말이 있나요?,"네, 저는 고등학교시절 의미있었던 활동인 ~를 대학 입학 후 적극적으로 해 나가고싶습니다. 가천대학교의 ~~프로그램에 참여하여서 ~. + 마무리 멘트, 감사합니다 !!",18ecadde-_______5.xlsx
가천대학교(성남),간호학과,학생부종합(농어촌),간호사의 자질이나 필요한 능력을 이야기해주세요.,간호사의 이해하기 위해 공감 능력과 공동체 속에서 일하는 직업이므로 의사소통이 중요하다고 생 각합니다.,18ecadde-_______5.xlsx
