대학,학과,전형,면접유형,면접시간,면접위원,면접절차,유의사항,선배조언
건국대학교,자유전공학부,학생부종합(KU 자기추천),서류 기반,10분,2명,◈ 면접 대기실(자료 볼 수X)-> 면접실 앞 의자(자료 볼 수X)-> 면접실,"◈ 교복 착용 금지, 모든 전자기기 뿐만 아니라 자료 모두 대기실에 들어간 직후부터 자신의 가방(가방이 없는 경우 지퍼팩 제공)에 넣고 볼 수 없음. 전자기기 소리가 울릴 경우도 부정행위에 포함되니 주의하기.","◈ 면접을 잘 보기 위해서는 생기부 개념을 하나하나 디테일하게 봐야하고, 특히 모든 개념을 다 파고들면서 공부하는게 좋다. 꼬리 질문이 많은 편이라 스스로 공부하면서 이건 왜 그런거지하는 물음을 가지고 계속 공부하면 좋은 결과를 얻을 수 있는 것 같다. / 교수님 두 분 모두 굉장히 웃으면서 들어가자마자 분위기 많이 풀어주셨으니깐, 너무 긴장하지말고 준비한 만큼 뽐내고 나와야지하는 생각으로 그냥 편하게 답하고 나오면 좋을 것 같다."
건국대학교,사회환경공학부,KU자기추천,서류 기반,10분,2명,◈ 면접 대기실-> 면접실 앞 의자 -> 면접실,"◈ 교복 착용 금지. ◈ 교수님 한분, 젊으신 분(입학사정관..?) 한분 총 2명 면접관. ◈ 편안한 분위기로 진행해주시려는 따뜻한 마음이 느껴짐. 맞게 대응할 것.","◈ 다른 사람들의 후기와 다르게 활동이 너무 많아서인지 사실 확인 위주였음. ◈ 각 활동별로 동기-내용-결과 간단하고 유연하게 말할 수 있도록 준비하기 ◈ 생기부에 언급되는 개념 어휘 한줄 설명 준비하기 (직접적인 질문이 아니어도 도움 된다) ◈ 자동진 세특은 필수로 분석하고(특히 2/3학년 더!),     교과는 진로와 엮인 것 더 준비하기(직접적인 질문이 아니어도 말할 소재가 생각남) 면접장 분위기가 좋은 편이니 밝은 태도로 대답 열심히 하면 됩니다 !"
국립경국대학교,간호학부,바른인재전형,서류 기반,10분+a,2명,◈ 창의인재관 내 면접 대기실(3층) -> 면접실 앞 의자(1-2분 대기) -> 면접실,"◈ 교복 착용 금지. ◈ 전자기기는 제출하지만 종이 서류는 볼 수 있음. 예상 질문 및 답변 꼭 인쇄해서 들고 가기!! ◈ 오전반/오후A반/오후B반으로 구성. 가번호 순서대로 면접 응시. ◈ 본인 면접 종료 후 대기실에서 짐 가지고 바로 건물 밖으로 이동해야함. ◈ 학부모 대기실: 메가 커피, 도서관",◈ 전혀 딱딱한 분위기는 아니기에 큰 걱정 안하셔도 될 것 같아요. ◈ 들어갈 때 긴장한 모습보단 웃는 모습 보여주기! 모든 학과에서 중요하지만 특히 간호학과가 더 중요하다고 생각해요. ◈ 교과에 대한 심화적인 질문보다 기본적인 내용(활동 위주)을 묻는 느낌이 강했어요. 생기부에 적힌 내용은 100% 이해 및 암기하셔야 할 것 같아요. ◈ 뒤로 가면 갈수록 10분 초과하는 경우가 많다고 느꼈어요. 타이머 울려도 당황하지 말고 질문이 많을수록 오히려 점수 딸 수 있는 기회라고 생각하면서 끝까지 성실히 답하면 될 것 같아요. ◈ 모르겠어도 그냥 모르겠다고 하지 마시고 조금이라도 관련된 내용을 당당하게 말하는 것도 중요할 것 같아요. 하나라도 말하려는 그 노력을 좋게 봐주실 수 있습니다. ◈ 후배 여러분들의 성공적인 대학 입시를 기원합니다!!
경북대학교,지구시스템과학부,학생부종합(지역인재),서류 기반,7분,2명,◈ 면접 대기실-> 면접실 앞 의자 -> 면접실,◈ 교복 착용 금지,◈ 첫 질문이 양자역학의 중첩과 얽힘에 대해 설명해보라는 것이여서 당황했는데 생기부에 쓰인 모든 개념 다 공부해야할 것 같습니다. 진로 답변을 엄청 준비했는데 교과질문만 물어봤습니다.
경북대학교,원예과학과,학생부종합(영농창업인재전형),서류 기반,10분,2명,◈ 면접 대기실1 → 면접실 앞 의자 → 면접실,"◈ 교복 착용 금지, 이름, 수험번호, 부모님 직업 언급 금지",◈ 세특에 있는 내용을 답변하고 추가로 또 질문하셔서 생기부에 없는 내용도 어느정도 알아두면 좋을 듯. 꼬리질문 대비 자세한 사례나 예시 생각해보기! 면접장 분위기가 좋은 편이니 긴장하지 마시고 대답 열심히 하면 됩니다~^^
경북대학교,전자공학 인공지능전공,지역인재,서류 기반,10분,2명,◈ 면접 대기실1-> 면접실 앞 의자 -> 면접실,◈ 교복 착용 금지,"◈ 자신의 생기부와 자소서 내용을 철저하게 이해하기, 꼬리질문 대비 자세한 사례나 예시 생각해보기! 면접장 분위기가 좋은 편이니 긴장하지 마시고 대답 열심히 하면 됩니다~^^"
경일대학교,간호학과,면접형,제시문 기반,10분,3명,◈ 면접 대기실1-> 면접실 앞 의자 -> 면접실,◈ 교복 착용 금지,◈ 정해져 있는 질문을 완벽하게 외우시고 자기소개랑 지원동기 둘 중 하나만 준비하셔도 될거같아요. 면접관은 3명이었고 참가자도 자신 포함 3명으로 3명다 차갑게 안하시고 따뜻하게 하시니깐 걱정 말고 준비한거 다 말하시면 좋은 점수 받을수 있습니다. 태도 많이 보는거 같으니 다리 떨지말고 정자세로 처음부터 끝까지 유지하는게 필수인거 같네요.
경희대학교,전자공학,네오르네상스 학종,서류 기반,10분,2명,◈ 면접 대기실1-> 면접실 앞 의자 -> 면접실,◈ 교복 착용 금지,"◈ 자신의 생기부와 자소서 내용을 철저하게 이해하기, 자세한 사례나 예시 생각해보기! 면접장 분위기가 좋은 편이니 긴장하지 마시고 대답 열심히 하면 됩니다~^^"
단국대학교,고분자시스템공학부 융합소재공학전공,DKU인재,서류 기반,10분,2명,◈ 면접 대기실1-> 면접실 앞 의자 -> 면접실,◈ 교복 착용 금지,◈ 남성분 여성분 모두 엄청나게 착하시고 웃으면서 이야기를 잘 들어주십니다. 최대한 편하게 해주시는 게 보입니다.  ◈ 지원자에게 책상이 배치되어 있고 앞쪽에 면접관분들 왼쪽에는 남은 시간 알려주시는 분 계시고 1분 남았을 때 알려주십니다. ◈ 자율이나 진로뿐만이 아닌 과세특 내용도 꼼꼼히 봅시다.
단국대학교,융합반도체,창업인재,서류 기반,10분,2명,◈ 면접 대기실1-> 면접실,"◈ 교복 착용 금지, 이름, 출신 언급 금지.","◈ 자신의 생기부와 자소서 내용을 철저하게 이해하기, 꼬리질문 대비 자세한 사례나 예시 생각해보기! 면접장 분위기가 좋은 편이니 긴장하지 마시고 대답 열심히 하면 됩니다~^^"
